56;2;5;4;6;5;3;1;2;4;4;4;6;5;1;1
57;3;3;6;0;5;0;2;4;4;0;1;0;6;1;4
58;5;5;0;1;1;0;6;2;3;2;5;6;6;5;1
59;3;2;3;3;2;0;2;5;4;1;5;5;1;1;2
60;3;2;1;0;0;4;1;6;0;5;4;5;4;4;6
61;6;2;4;0;5;3;5;1;1;1;1;0;6;2;5
62;2;4;0;4;4;5;6;4;2;4;6;6;2;1;1
63;2;2;3;0;6;2;6;5;1;1;6;2;3;4;2
64;5;0;3;4;5;4;6;5;2;4;5;6;3;1;1
65;6;0;4;0;6;3;1;4;4;3;5;4;6;5;4
66;4;0;6;3;2;6;3;6;2;1;6;4;0;3;0
67;0;5;3;4;5;0;3;6;0;2;3;4;2;5;5
68;5;6;0;2;5;2;6;5;3;2;0;2;3;4;3
69;6;1;2;0;3;1;4;5;5;2;5;1;6;6;0
70;1;5;4;6;5;0;6;3;5;4;0;5;1;0;1
71;6;3;2;6;3;0;0;4;4;5;2;2;2;0;3
72;0;4;3;2;4;1;1;5;4;3;2;3;4;4;6
73;2;4;1;1;1;4;2;3;5;5;2;3;5;2;3
74;4;1;1;6;4;2;6;3;5;5;0;2;6;0;4
75;4;6;3;2;1;6;1;3;4;4;5;6;1;2;4
76;5;2;5;2;3;6;4;6;0;2;0;6;1;3;2
77;5;2;0;2;3;3;0;0;2;3;1;6;0;1;4
78;4;0;5;1;2;2;1;4;1;3;4;1;1;0;5
79;6;1;2;5;2;0;6;5;0;6;5;6;6;6;4
80;5;3;2;2;2;6;6;4;6;5;4;2;0;6;0
81;0;4;1;3;5;6;2;5;0;3;0;4;5;3;6
82;5;0;0;2;5;3;4;1;4;6;5;5;4;3;3
83;1;3;6;2;2;3;1;3;5;3;1;2;1;5;5
84;2;2;0;0;2;1;6;2;4;1;1;3;5;4;1
85;5;2;4;2;0;1;5;1;0;1;4;6;6;5;4
86;1;0;4;6;5;1;0;6;0;0;0;5;2;0;0
87;1;3;4;5;3;4;1;4;2;4;0;1;6;5;0
88;4;6;4;0;2;2;2;0;2;2;2;2;0;6;5
89;5;5;2;6;1;4;1;3;6;2;0;4;0;0;0
90;5;1;0;6;6;2;0;1;1;0;4;2;3;5;3
91;4;4;5;5;2;4;5;1;3;4;4;6;2;6;4
92;5;5;3;0;5;1;5;4;4;2;5;4;0;6;3
93;2;3;4;0;6;1;5;3;2;0;4;3;5;1;4
94;1;4;0;3;4;0;6;2;5;6;0;6;5;6;6
95;6;2;4;6;3;6;0;6;6;1;3;6;0;4;5
96;2;6;1;0;3;1;1;5;0;5;6;1;3;0;0
97;0;0;4;1;2;1;2;3;2;1;6;5;5;4;3
98;5;4;1;4;5;1;5;4;2;3;1;0;3;2;1
99;4;4;6;1;3;0;2;4;0;3;5;1;5;0;5
100;3;6;0;3;1;4;5;2;3;3;6;6;2;5;5
